Track Name;Artist Name(s);Album Name;Album Release Date
Love You Like A Love Song;Selena Gomez & The Scene;For You;2014-11-24
Die Young;Kesha;Warrior (Deluxe Version);2012-11-30
You Da One;Rihanna;Talk That Talk;2011-11-19
Diamonds;Rihanna;Unapologetic (Deluxe);2012-12-11
Blurred Lines;Robin Thicke, T.I., Pharrell Williams;Blurred Lines (Deluxe);2013-01-01
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton;The Heist;2012-10-09
Mirrors;Justin Timberlake;The 20/20 Experience;2013-03-15
Stay;Rihanna, Mikky Ekko;Unapologetic (Deluxe);2012-12-11
Royals;Lorde;Pure Heroine;2013-09-27
We Can't Stop;Miley Cyrus;Bangerz (Deluxe Version);2013-10-04
Lost;Riese Kendrick;Lost;2022-03-21
Wake Me Up;Avicii;True;2013-09-13
Don't You Worry Child - Radio Edit;Swedish House Mafia, John Martin;Don't You Worry Child;2012-09-14
Girl On Fire;Alicia Keys;Girl On Fire;2012-09-04
I Need Your Love (feat. Ellie Goulding);Calvin Harris, Ellie Goulding;18 Months;2012-10-29
Demons;Imagine Dragons;Night Visions;2012-09-04
Counting Stars;OneRepublic;Native;2014-01-01
I Cry;Flo Rida;Wild Ones;2012-06-22
Trumpets;Jason Derulo;Tattoos;2013-09-10
Rather Be (feat. Jess Glynne);Clean Bandit, Jess Glynne;Rather Be (feat. Jess Glynne);2014-01-17
The A Team;Ed Sheeran;+;2011-09-09
Hall of Fame (feat. will.i.am);The Script, will.i.am;#3;2012-09-10
Next To Me;Emeli Sandé;Our Version Of Events;2012-01-01
Let Her Go;Passenger;All the Little Lights;2012-06-29
All of Me;John Legend;Love In The Future (Expanded Edition);2013-08-30
Fancy;Iggy Azalea, Charli XCX;The New Classic (Deluxe Version);2014-01-01
Work;Iggy Azalea;The New Classic;2014-01-01
Me And My Broken Heart;Rixton;Let The Road;2014-01-01
Timber (feat. Ke$ha);Pitbull, Kesha;Global Warming: Meltdown (Deluxe Version);2012
Pompeii;Bastille;Bad Blood;2013-01-01
Chasing Cars;Hear Guitar;Chasing Cars;2022-03-10
Am I Wrong;Nico & Vinz;Am I Wrong;2014-01-21
Feel This Moment (feat. Christina Aguilera);Pitbull, Christina Aguilera;Global Warming: Meltdown (Deluxe Version);2012
Team;Lorde;Pure Heroine;2013-09-27
Chandelier;Sia;1000 Forms Of Fear;2014-07-04
Maps;Maroon 5;V;2014-09-02
Summer;Calvin Harris;Motion;2014-10-31
Bailando - English Version;Enrique Iglesias, Sean Paul, Descemer Bueno, Gente De Zona;SEX AND LOVE;2014-05-06
Wiggle (feat. Snoop Dogg);Jason Derulo, Snoop Dogg;Talk Dirty;2013-09-10
Wrecking Ball;Miley Cyrus;Bangerz (Deluxe Version);2013-10-04
A Sky Full of Stars;Coldplay;Ghost Stories;2014-05-19
Don't;Ed Sheeran;x (Deluxe Edition);2014-06-21
Hey Brother;Avicii;True;2013-09-13
Shower;Becky G;Shower;2014-04-23
Paparazzi;Lady Gaga;The Fame Monster (Deluxe);2009-01-01
She Looks So Perfect;5 Seconds of Summer;5 Seconds Of Summer;2014-06-27
Worth It (feat. Kid Ink);Fifth Harmony, Kid Ink;Reflection (Deluxe);2015-01-30
Heartbeat Song;Kelly Clarkson;Heartbeat Song;2015-01-12
"Love Me Like You Do - From ""Fifty Shades Of Grey""";Ellie Goulding;"Love Me Like You Do (From ""Fifty Shades Of Grey"")";2015-01-07
Thinking out Loud;Ed Sheeran;x (Deluxe Edition);2014-06-21
Stitches;Shawn Mendes;Stitches;2015-02-10
Photograph;Ed Sheeran;x (Deluxe Edition);2014-06-21
Secrets;OneRepublic;Waking Up;2009-01-01
Keep Your Head Up;Andy Grammer;Andy Grammer;2011-01-01
Stole the Show;Kygo, Parson James;Stole the Show;2015-03-23
Firestone;Kygo, Conrad Sewell;Firestone;2015-06-24
Waiting For Love;Avicii;Stories;2015-10-02
Love Yourself;Justin Bieber;Purpose (Deluxe);2015-11-13
Sorry;Justin Bieber;Purpose (Deluxe);2015-11-13
What Do You Mean?;Justin Bieber;Purpose (Deluxe);2015-11-13
I'll Show You;Justin Bieber;Purpose (Deluxe);2015-11-13
I Took A Pill In Ibiza - Seeb Remix;Mike Posner;The Truth (Remixes);2015-12-18
PILLOWTALK;ZAYN;PILLOWTALK;2016-08-22
Me, Myself & I;G-Eazy, Bebe Rexha;Me, Myself & I;2015-10-14
7 Years;Lukas Graham;7 Years;2015-10-22
My House;Flo Rida;My House;2015-04-07
Never Forget You;Zara Larsson, MNEK;Never Forget You;2015-09-10
Stressed Out;Twenty One Pilots;Blurryface;2015-05-15
Don't Let Me Down;The Chainsmokers, Daya;Don't Let Me Down;2016-02-05
Fast Car;Jonas Blue, Dakota;Fast Car;2015-12-04
Faded;Alan Walker;Faded;2015-12-04
Middle;DJ Snake, Bipolar Sunshine;Middle;2015-10-16
Sugar (feat. Francesco Yates);Robin Schulz, Francesco Yates;Sugar;2015-09-25
One Call Away;Charlie Puth;One Call Away;2015-08-21
Same Old Love;Selena Gomez;Revival;2015-10-09
On The Floor - Radio Edit;Jennifer Lopez, Pitbull;On The Floor;2011-01-01
Don't Be so Hard on Yourself;Jess Glynne;I Cry When I Laugh;2015
Hotline Bling;Drake;Hotline Bling;2015-07-31
Trap Queen;Fetty Wap;Fetty Wap (Deluxe);2015-09-25
This Could Be Us;Rae Sremmurd;SremmLife;2015-01-06
Congratulations;Post Malone, Quavo;Stoney;2016-12-09
Go Flex;Post Malone;Stoney;2016-12-09
Cheerleader - Felix Jaehn Remix Radio Edit;OMI, Felix Jaehn;Cheerleader (Felix Jaehn Remix Radio Edit);2015-03-06
Waves - Robin Schulz Radio Edit;Mr. Probz, Robin Schulz;Waves (Robin Schulz Radio Edit);2014-02-07
Heroes (we could be);Alesso, Tove Lo;Queen Of The Clouds (Blueprint Edition);2015-10-02
Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick, Robin Schulz;Prayer in C;2014-05-16
Time of Our Lives;Pitbull, Ne-Yo;Globalization;2014-11-21
Whistle;Hoodie Forester, Young Jae;Whistle;2020-12-09
Sex;Cheat Codes, Kris Kross Amsterdam;Sex;2016-02-05
This Is What You Came For (feat. Rihanna);Calvin Harris, Rihanna;This Is What You Came For (feat. Rihanna);2016-04-29
Wherever I Go;OneRepublic;Wherever I Go;2016-05-13
Please Don't Go;Joel Adams;Please Don't Go;2015-11-06
Toothbrush;DNCE;SWAAY;2015-10-23
Scars To Your Beautiful;Alessia Cara;Know-It-All (Deluxe);2015-11-13
That Don't Impress Me Much;Shania Twain;Come On Over;1997
These Days (feat. Jess Glynne, Macklemore & Dan Caplen);Rudimental, Jess Glynne, Macklemore, Dan Caplen;These Days (feat. Jess Glynne, Macklemore & Dan Caplen);2018-01-19
Échame La Culpa;Luis Fonsi, Demi Lovato;Échame La Culpa;2017-11-17
Barking;Ramz;Barking;2017-12-01
Jackie Chan;Tiësto, Dzeko, Preme, Post Malone;Jackie Chan;2018-05-18
Replay;Iyaz;Replay;2009-08-18
In Da Club;50 Cent;Get Rich Or Die Tryin';2003-02-06
Wannabe;Spice Girls;Spice;1996-01-01
I Want It That Way;Backstreet Boys;Millennium;1999-05-18
Cry Me a River;Justin Timberlake;Justified;2002-11-04
No One;Alicia Keys;As I Am (Expanded Edition);2007-11-09
What the Hell;Avril Lavigne;Goodbye Lullaby (Expanded Edition);2011-03-08
Magic (feat. Rivers Cuomo);B.o.B, Rivers Cuomo;B.o.B Presents: The Adventures of Bobby Ray;2010-04-27
MALAMENTE - Cap.1: Augurio;ROSALÍA;MALAMENTE (Cap.1: Augurio);2018-05-30
thank u, next;Ariana Grande;thank u, next;2018-11-03
Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);DJ Snake, Selena Gomez, Ozuna, Cardi B;Carte Blanche;2019-07-25
God is a woman;Ariana Grande;Sweetener;2018-08-17
Good Time;Owl City, Carly Rae Jepsen;The Midsummer Station;2012-01-01
What Makes You Beautiful;One Direction;Up All Night;2012-05-25
Me, Myself & I;G-Eazy, Bebe Rexha;When It's Dark Out;2015-12-04
Viva La Vida;Coldplay;Viva La Vida or Death and All His Friends;2008-05-26
Stronger (What Doesn't Kill You);Kelly Clarkson;Stronger (Deluxe Version);2011-10-24
I'm A Believer;Smash Mouth;Smash Mouth;2001-01-01
Black Beatles;Rae Sremmurd, Gucci Mane;SremmLife 2 (Deluxe);2016-08-12
Hey There Delilah;Plain White T's;All That We Needed;2005-01-01
Tusa;KAROL G, Nicki Minaj;Tusa;2019-11-07
Genie In a Bottle;Christina Aguilera;Christina Aguilera (Expanded Edition);1999
Tubthumping;Chumbawamba;Playlist: 90s Pop;2008-04-28
This Is Love;will.i.am, Eva Simons;#willpower (Deluxe);2013-01-01
Gangnam Style (강남스타일);PSY;Gangnam Style (강남스타일);2012-01-01
Barbie Girl;Aqua;Aquarium (Special Edition);1997-01-01
Mambo No. 5 (a Little Bit of...);Lou Bega;A Little Bit of Mambo;1999-07-19
Pon de Replay;Rihanna;Music Of The Sun;2005-08-29
Gasolina;Daddy Yankee;Barrio Fino (Bonus Track Version);2004-07-13
Roar;Katy Perry;PRISM;2013-01-01
Rude;MAGIC!;Don't Kill the Magic;2014-06-25
Only Girl (In The World);Rihanna;Loud (Japan Version);2010-01-01
SexyBack (feat. Timbaland);Justin Timberlake, Timbaland;FutureSex/LoveSounds;2006-09-12
Where Is The Love?;Black Eyed Peas;Elephunk;2003-01-01
Whenever, Wherever;Shakira;Laundry Service;2001-11-13
Everytime We Touch;Cascade;Everytime We Touch;2011-05-13
Pompeii;Bastille;All This Bad Blood;2013-01-01
Rather Be (feat. Jess Glynne);Clean Bandit, Jess Glynne;New Eyes;2014-06-02
King;Years & Years;This Is Pop Music;2020-03-13
Something Just Like This;The Chainsmokers, Coldplay;Memories...Do Not Open;2017-04-07
Promiscuous;Nelly Furtado, Timbaland;The Best of Nelly Furtado (International Version);2010-01-01
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit;Asaf Avidan, The Mojos, Wankelmut;One Day / Reckoning Song (Wankelmut Remix);2012-08-03
Pepas;Farruko;Pepas;2021-06-24
good 4 u;Olivia Rodrigo;good 4 u;2021-05-14
Happier Than Ever;Billie Eilish;Happier Than Ever;2021-07-30
Levitating;Dua Lipa;Future Nostalgia;2020-03-27
Leave The Door Open;Bruno Mars, Anderson .Paak, Silk Sonic;Leave The Door Open;2021-03-05
lovely (with Khalid);Billie Eilish, Khalid;lovely (with Khalid);2018-04-19
bad guy;Billie Eilish;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;2019-03-29
This Is The Life;Amy Macdonald;This Is The Life (eDeluxe);2007-01-01
